LABELS
SEPARATOR TAB

DATA
20298_3_42	Alistipes shahii (0.053%)
GCF_000243175.1	Clostridium_P perfringens (0.0%)
GCF_000173435.1	Bifidobacterium pseudocatenulatum (0.0%)
GCF_000159055.1	Clostridium_Q saccharolyticum (0.06%)
GCF_900087015.1	Christensenella_A timonensis (0.002%)
GCF_000156395.1	Providencia rustigianii (0.0%)
GCF_000154485.1	Erysipelatoclostridium ramosum (0.005%)
GCF_000010385.1	Escherichia coli (0.0%)
GCF_000164315.1	Escherichia (0.0%)
GCF_900129655.1	Bacteroides clarus (0.002%)
GCF_000826065.1	Tessaracoccus massiliensis (0.0%)
GCF_000173455.1	Bifidobacterium catenulatum (0.0%)
GCF_000159975.2	Blautia_A wexlerae (0.377%)
GCF_000455285.1	Stoquefichus massiliensis (0.0%)
GCF_000011045.1	Lactobacillus_C rhamnosus (0.0%)
GCF_000527215.1	Klebsiella_A oxytoca (0.0%)
GCF_000155955.1	Mitsuokella multacida (0.0%)
GCF_000225845.1	Lactobacillus_B ruminis (0.0%)
GCF_000185345.1	Campylobacter upsaliensis (0.0%)
GCF_000751675.1	Clostridium_J sp1 (0.0%)
GCF_000345845.2	Helicobacter (0.0%)
GCF_001078315.1	Erysipelatoclostridium (0.002%)
GCF_000455265.1	Paenibacillus_P antibioticophila (0.0%)
GCF_900091705.1	Clostridium_P mediterraneense (0.0%)
GCF_000157055.1	Bacteroides ovatus (0.349%)
GCF_000820745.1	Eisenbergiella tayi (0.004%)
GCF_000164415.1	Escherichia (0.0%)
GCF_000158315.2	Fusobacterium_A ulcerans (0.0%)
GCF_000345505.2	Helicobacter (0.0%)
GCF_000158375.2	Clostridium (0.0%)
GCF_000285455.1	Alistipes timonensis (0.004%)
GCF_000321005.1	Anaerococcus senegalensis (0.0%)
GCF_000238715.1	Klebsiella pneumoniae (0.0%)
GCF_000210055.1	Gordonibacter pamelaeae (0.018%)
GCF_000154525.1	Bacteroides stercoris (0.011%)
GCF_000147475.1	Enterococcus faecalis (0.0%)
GCF_000158195.2	Fusobacterium_A mortiferum (0.0%)
GCF_000159855.2	Bacteroides fragilis (0.082%)
GCF_000411535.1	Veillonella atypica (0.001%)
GCF_000158415.2	Escherichia coli (0.001%)
GCF_900048895.1	Neglecta timonensis (0.026%)
GCF_000158555.2	Erysipelatoclostridium ramosum (0.014%)
GCF_000752035.1	Bacillus_W rubiinfantis (0.0%)
GCF_001517665.2	Peptoniphilus_A phoceensis (0.0%)
GCF_000020425.1	Bifidobacterium infantis (0.001%)
GCF_001375515.1	SIT6 (0.0%)
GCF_000196555.1	Bifidobacterium longum (0.007%)
GCF_000741565.1	Bifidobacterium catenulatum (0.0%)
GCF_000723585.1	Virgibacillus massiliensis (0.0%)
GCF_000158075.1	Clostridium_M (0.019%)
GCF_000159255.1	Enterococcus faecalis (0.001%)
GCF_000345045.2	Helicobacter (0.0%)
GCF_000345985.2	Helicobacter pylori_BT (0.0%)
GCF_000172135.1	Bifidobacterium dentium (0.002%)
GCF_001315785.1	Bacteroides_A coprophilus (0.011%)
GCF_000311845.1	Enorma massiliensis (0.0%)
GCF_000233455.1	Clostridium_M citroniae (0.025%)
GCF_000750635.1	Oceanobacillus jeddahense (0.0%)
GCF_000234155.1	Clostridium_M clostridioformis (0.005%)
GCF_000185525.1	Anaerostipes hadrus (0.073%)
GCF_000162015.1	Faecalibacterium prausnitzii_C (0.545%)
GCF_000169475.1	Ruminococcus_B gnavus (0.067%)
GCF_000311725.1	Bacillus_V massiliosenegalensis (0.0%)
GCF_000157995.1	Holdemania filiformis (0.027%)
GCF_001025215.1	Bifidobacterium pseudocatenulatum (0.0%)
GCF_000154285.1	Eubacterium_D dolichum (0.01%)
GCF_000527255.1	Providencia alcalifaciens (0.0%)
GCF_000345105.2	Helicobacter (0.0%)
GCF_001436305.1	Lactobacillus ultunensis (0.0%)
GCF_000411235.1	Corynebacterium (0.0%)
GCF_000411355.1	Tyzzerella sp1 (0.003%)
GCF_000159175.1	Lactobacillus_G hilgardii (0.0%)
GCF_000321045.1	Enterobacter_C massiliensis (0.0%)
GCF_000527275.1	Providencia alcalifaciens_A (0.0%)
GCF_000169255.2	Pseudoflavonifractor capillosus (0.037%)
GCF_900078395.1	Anaerotruncus rubiinfantis (0.013%)
GCF_000164615.1	Escherichia (0.0%)
GCF_000479185.1	Fusobacterium nucleatum_F (0.0%)
GCF_900095875.1	Caecibacter massiliensis (0.0%)
GCF_001405715.1	Anaerostipes hadrus (0.043%)
GCF_000147595.1	Enterococcus faecalis (0.0%)
GCF_000218345.1	Bacteroides fragilis (0.084%)
GCF_000160455.2	Acetomicrobium hydrogeniformans (0.0%)
GCF_000220865.1	Neisseria_E macacae (0.0%)
GCF_001487145.1	Anaerococcus rubeinfantis (0.0%)
GCF_001435665.1	Lactobacillus amylolyticus (0.0%)
GCF_000321165.1	Enorma timonensis (0.0%)
GCF_001078415.1	Intestinibacter bartlettii (0.0%)
GCF_000469365.1	Lactobacillus_G brevis (0.0%)
GCF_000162135.1	Bacteroides fragilis (0.094%)
GCF_001243895.1	Bacillus_AD testis (0.0%)
GCF_000479265.1	Fusobacterium nucleatum (0.0%)
GCF_000346875.2	Helicobacter pylori_BT (0.0%)
GCF_000003135.1	Bifidobacterium longum (0.009%)
GCF_000162575.1	Helicobacter_D canadensis (0.0%)
GCF_000189595.1	Clostridium_Q symbiosum (0.042%)
GCF_000156215.1	Collinsella stercoris (0.0%)
GCF_000826105.1	Pseudomonas_E massiliensis (0.0%)
GCF_001282625.1	Fermentimonas caenicola (0.0%)
GCF_900095705.1	Fusobacterium massiliense (0.0%)
GCF_000820865.2	Bacillus_W jeddahensis (0.0%)
GCF_000164495.1	Escherichia (0.0%)
GCF_000261265.1	Bifidobacterium longum (0.006%)
GCF_001403615.1	Desnuesiella massiliensis (0.0%)
GCF_000241405.1	Listeria innocua (0.0%)
GCF_001457875.1	Actinomyces_B ihumii (0.0%)
GCF_000345605.2	Helicobacter pylori_BT (0.0%)
GCF_000158495.1	Oxalobacter formigenes_A (0.0%)
GCF_000242175.1	Eubacterium_D innocuum (0.032%)
GCF_000236865.1	Senegalimassilia anaerobia (0.002%)
GCF_000154365.1	Clostridium_M bolteae (0.019%)
GCF_000753235.2	MS4 sp1 (0.0%)
GCF_000466465.2	Eisenbergiella (0.006%)
GCF_000159895.2	Escherichia coli (0.001%)
GCF_001486585.1	Paenibacillus_A senegalimassiliensis (0.0%)
GCF_000438455.1	Nosocomiicoccus massiliensis (0.0%)
GCF_000159375.2	Lactobacillus_B ruminis (0.0%)
GCF_001025175.1	Bifidobacterium breve (0.0%)
GCF_000185845.1	Prevotella salivae (0.001%)
GCF_000527315.1	Providencia alcalifaciens (0.0%)
GCF_000159675.1	Enterococcus_B faecium_A (0.01%)
GCF_000174215.1	Acidaminococcus intestini (0.001%)
GCF_001404655.1	Anaerostipes hadrus_A (0.005%)
GCF_000164215.1	Escherichia coli (0.0%)
GCF_000224635.1	Desulfovibrio fairfieldensis (0.024%)
GCF_000320405.1	Clostridium celatum (0.0%)
GCF_001457835.1	Fenollaria timonensis (0.0%)
GCF_000164355.1	Escherichia (0.0%)
GCF_900086585.1	Emergencia timonensis (0.006%)
GCF_000162175.1	Parabacteroides distasonis (0.035%)
GCF_000235865.1	Lactobacillus_C rhamnosus (0.0%)
GCF_001368835.1	Thalassobacillus (0.0%)
GCF_000188175.1	Phascolarctobacterium succinatutens (0.09%)
GCF_900021175.1	Enterobacter_A timonensis (0.0%)
GCF_000523555.1	Fusobacterium nucleatum_A (0.0%)
GCF_001486505.1	Paenibacillus_A rubinfantis (0.0%)
GCF_000026505.1	Lactobacillus_C rhamnosus (0.0%)
GCF_001403595.1	Coprobacter secundus (0.004%)
GCF_900078295.2	Blautia_A wexlerae (0.372%)
GCF_000160715.1	Lactobacillus_H reuteri (0.0%)
GCF_000178935.2	Helicobacter pylori_C (0.0%)
GCF_000210615.1	Faecalitalea cylindroides (0.023%)
GCF_000159215.1	Lactobacillus_H fermentum (0.0%)
GCF_000760655.1	Flavonifractor plautii (0.013%)
GCF_000209425.1	Blautia hansenii (0.005%)
GCF_000312025.1	Peptoniphilus_A timonensis (0.0%)
GCF_000821305.1	Clostridium_J sp1 (0.0%)
GCF_000344945.2	Helicobacter (0.0%)
GCF_000218325.1	Bacteroides ovatus (0.074%)
GCF_000231275.1	Alistipes_A indistinctus (0.038%)
GCF_000345685.2	Helicobacter pylori_BT (0.0%)
GCF_000345785.2	Helicobacter (0.0%)
GCF_000154825.1	Anaerofustis stercorihominis (0.018%)
GCF_000300955.1	Klebsiella pneumoniae (0.0%)
GCF_900069005.1	GM2 (0.0%)
GCF_000400875.1	Fusobacterium animalis (0.0%)
GCF_000156175.1	Collinsella intestinalis (0.0%)
GCF_000269565.1	Coprobacillus cateniformis (0.011%)
GCF_000159495.1	Lactobacillus_C paracasei (0.0%)
GCF_000218445.1	Ruminococcus_B torques (0.007%)
GCF_000285835.1	Brevibacterium senegalense (0.0%)
GCF_000344965.2	Helicobacter pylori_BT (0.0%)
GCF_000162155.1	Bacteroides xylanisolvens (0.024%)
GCF_900021165.1	Paenibacillus_A phocaensis (0.0%)
GCF_000469345.1	Eubacterium_I ramulus (0.03%)
GCF_000179115.1	Escherichia coli (0.0%)
GCF_000411475.1	Streptococcus (0.0%)
GCF_000771025.1	Bifidobacterium catenulatum (0.0%)
GCF_001486445.1	Cryptobacterium (0.001%)
GCF_000010005.1	Lactobacillus_H reuteri (0.0%)
GCF_000160835.1	Lactobacillus_H antri (0.0%)
GCF_000238735.1	Citrobacter portucalensis (0.0%)
GCF_000156015.1	Butyrivibrio_A crossotus (0.263%)
GCF_000345965.2	Helicobacter pylori_BT (0.0%)
GCF_001457415.1	Gorillibacterium (0.0%)
GCF_000218365.1	Bacteroides xylanisolvens (0.083%)
GCF_000155875.1	Coprococcus_B comes (0.078%)
GCF_000455245.1	Nesterenkonia massiliensis (0.0%)
GCF_000227255.2	Ralstonia pickettii (0.0%)
GCF_000238035.1	Desulfitobacterium hafniense (0.0%)
GCF_000155855.1	Bacteroides_F pectinophilus (0.027%)
GCF_001368795.1	Paenibacillus (0.0%)
GCF_001025155.1	Bifidobacterium angulatum (0.0%)
GCF_000821085.1	Bacillus_D (0.0%)
GCF_000010145.1	Lactobacillus_H fermentum (0.0%)
GCF_000153885.1	Eubacterium_G ventriosum (0.019%)
GCF_000169015.1	Bacteroides caccae (0.003%)
GCF_000821325.1	Planomicrobium massiliensis (0.0%)
GCF_000345005.2	Helicobacter (0.0%)
GCF_900078545.1	Olegusella massiliensis (0.001%)
GCF_000162355.2	Fusobacterium animalis (0.0%)
GCF_000376405.1	Dysgonomonas mossii (0.0%)
GCF_000159195.1	Lactobacillus_G hilgardii (0.0%)
GCF_000285495.1	Oceanobacillus massiliensis (0.0%)
GCF_000261205.1	Bifidobacterium longum (0.006%)
GCF_000185685.2	Hafnia paralvei (0.0%)
GCF_000312105.1	Aeromicrobium_A massiliense (0.0%)
GCF_000233555.1	Cutibacterium acnes (0.0%)
GCF_000382465.1	Bacteroides nordii (0.003%)
GCF_000173375.1	Bifidobacterium gallicum (0.0%)
GCF_000345325.2	Helicobacter (0.0%)
GCF_000178475.1	Lactobacillus amylolyticus (0.0%)
GCF_000155415.1	Bifidobacterium longum (0.009%)
GCF_000346005.2	Helicobacter pylori_BT (0.0%)
GCF_001433855.1	Lactobacillus_G brevis (0.0%)
GCF_000148995.1	Listeria grayi (0.0%)
GCF_000239255.1	Hafnia alvei_A (0.0%)
GCF_000179135.1	Escherichia coli (0.0%)
GCF_000235905.1	Clostridioides difficile (0.0%)
GCF_000752395.1	Bacillus_J andreraoultii (0.0%)
GCF_001457815.1	Vitreoscilla (0.0%)
GCF_001517625.2	Clostridium_M (0.011%)
GCF_000173815.1	Marvinbryantia formatexigens (0.081%)
GCF_001941425.1	Corynebacterium ammoniagenes (0.0%)
GCF_000178235.1	Enterococcus_B faecium_A (0.009%)
GCF_000345825.2	Helicobacter (0.0%)
GCF_000188195.1	Succinatimonas hippei (0.0%)
GCF_000479225.1	Fusobacterium animalis (0.0%)
GCF_000154105.1	Parabacteroides merdae (0.2%)
GCF_000225685.1	Eubacterium_D innocuum (0.02%)
GCF_001457795.1	Olsenella (0.0%)
GCF_000155455.1	Helicobacter_D canadensis (0.0%)
GCF_000332875.2	Anaerostipes hadrus (0.053%)
GCF_000345885.2	Helicobacter (0.0%)
GCF_001286805.1	Kallipyga gabonensis (0.0%)
GCF_000158015.1	Bifidobacterium breve (0.0%)
GCF_000507845.1	Helicobacter_B macacae (0.0%)
GCF_000820725.1	Actinomyces_B polynesiensis (0.0%)
GCF_000312125.1	Timonella senegalensis (0.0%)
GCF_000161955.2	Streptococcus gordonii (0.001%)
GCF_000218645.2	Fusobacterium animalis (0.0%)
GCF_000313565.1	Dielma fastidiosa (0.004%)
GCF_000145315.2	Desulfovibrio fairfieldensis (0.023%)
GCF_000154445.1	Intestinibacter bartlettii (0.009%)
GCF_000345725.2	Helicobacter (0.0%)
GCF_000156655.1	Holdemanella biformis (1.278%)
GCF_001078555.1	Parabacteroides distasonis (0.083%)
GCF_000154385.1	Faecalibacterium prausnitzii_A (0.585%)
GCF_000166035.1	Faecalibacterium prausnitzii_D (0.577%)
GCF_001185345.1	Dorea (0.006%)
GCF_000234175.1	Enterococcus_D gallinarum (0.0%)
GCF_000345945.2	Helicobacter pylori_BT (0.0%)
GCF_000403725.1	Corynebacterium ihumii (0.0%)
GCF_000243215.1	Odoribacter laneus (0.001%)
GCF_000238615.1	Cloacibacillus evryensis (0.003%)
GCF_000159475.2	Lactobacillus_H reuteri (0.0%)
GCF_900095825.1	Acidaminococcus massiliensis (0.0%)
GCF_000213135.1	Helicobacter pylori_C (0.0%)
GCF_000346855.2	Helicobacter (0.0%)
GCF_000164475.1	Escherichia coli (0.001%)
GCF_000239295.1	Flavonifractor plautii (0.006%)
GCF_000165085.1	Ralstonia pickettii (0.0%)
GCF_000155205.1	Ruminococcus_B lactaris (0.969%)
GCF_000517745.1	Providencia alcalifaciens_A (0.0%)
GCF_000345085.2	Helicobacter (0.0%)
GCF_000154125.1	Bacteroides ovatus (0.07%)
GCF_001182045.1	Dakarella massiliensis (0.0%)
GCF_000345485.2	Helicobacter pylori_BT (0.0%)
GCF_000233515.1	Clostridium_Q symbiosum (0.008%)
GCF_900078195.1	Lachnoclostridium (0.0%)
GCF_000159415.1	Lactobacillus ultunensis (0.0%)
GCF_000577335.1	Clostridium_E jeddahense (0.0%)
GCF_000300935.1	Klebsiella pneumoniae (0.0%)
GCF_000466605.1	Bittarella massiliensis (0.02%)
GCF_000164115.1	Corynebacterium ammoniagenes (0.0%)
GCF_000163955.1	Edwardsiella tarda (0.0%)
GCF_000156635.1	Bifidobacterium angulatum (0.0%)
GCF_000345925.2	Helicobacter (0.0%)
GCF_000469445.2	Oscillibacter sp6 (0.046%)
GCF_000741205.1	Bifidobacterium gallicum (0.0%)
GCF_000345465.2	Helicobacter pylori_BT (0.0%)
GCF_000346835.2	Helicobacter (0.0%)
GCF_000159715.1	Lactobacillus acidophilus (0.0%)
GCF_001404835.1	Anaerostipes hadrus (0.059%)
GCF_000179095.1	Escherichia coli (0.0%)
GCF_000411435.1	Bifidobacterium breve (0.001%)
GCF_001486665.1	Fournierella massiliensis (0.032%)
GCF_000613685.1	Bacteroides salyersiae (0.004%)
GCF_000752675.2	Olsenella_B (0.0%)
GCF_000190355.1	Ruminococcus_B fissicatena (0.006%)
P1448	Methanomassiliicoccaceae (0%)
P1450	Methanobrevibacter_A (0%)
P898	Bifidobacterium infantis (0.002%)
P899	Bifidobacterium longum (0.015%)
P908	Bifidobacterium longum (0.014%)
P913	Bifidobacterium breve (0.0%)
P919	Bifidobacterium angulatum (0.0%)
P920	Bifidobacterium (0.001%)
P923	Bifidobacterium bifidum (0.0%)
P926	Bifidobacterium bifidum (0.0%)
P929	Bifidobacterium adolescentis_A (0.0%)
P931	Bifidobacterium (0.0%)
P938	Bifidobacterium catenulatum (0.0%)
P939	Bifidobacterium catenulatum (0.0%)
P941	Bifidobacterium pseudocatenulatum (0.0%)
P952	Bifidobacterium gallicum (0.0%)
P953	Bifidobacterium animalis (0.0%)
P957	Cellulomonas (0.0%)
P959	Actinomycetaceae (0.001%)
P965	Corynebacterium (0.0%)
P966	Corynebacterium ammoniagenes (0.0%)
P970	Corynebacterium (0.0%)
P972	Corynebacterium (0.0%)
P974	Micrococcaceae (0.0%)
P975	Rothia (0.0%)
P978	Actinomyces_B (0.002%)
P984	Actinomyces_B (0.001%)
P988	Actinomycetaceae (0.0%)
P995	Cutibacterium acnes (0.0%)
P996	Cutibacterium (0.0%)
P999	Propionibacteriaceae (0.0%)
P1007	Collinsella (0.001%)
P1026	Collinsella (0.007%)
P1033	Collinsella (0.004%)
P1046	Collinsella (0.013%)
P1050	Collinsella (0.001%)
P1054	Enorma (0.0%)
P1057	Collinsella (0.0%)
P1062	Collinsella (0.001%)
P1066	Collinsella (0.0%)
P1071	Collinsella (0.0%)
P1072	Collinsella (0.0%)
P1076	Collinsella aerofaciens (0.0%)
P1078	Collinsella (0.002%)
P1080	Collinsella (0.001%)
P1083	Collinsella (0.0%)
P1085	Collinsella (0.003%)
P1088	Collinsella (0.0%)
P1091	Collinsella (0.0%)
P1094	Collinsella (0.002%)
P1114	Collinsella (0.001%)
P1126	Collinsella aerofaciens (0.0%)
P1131	Collinsella (0.001%)
P1143	Collinsella (0.0%)
P1145	Collinsella (0.0%)
P1152	Collinsella aerofaciens (0.0%)
P1154	Collinsella aerofaciens (0.0%)
P1156	Collinsella (0.002%)
P1158	Collinsella (0.0%)
P1162	Collinsella (0.0%)
P1168	Collinsella (0.0%)
P1170	Collinsella (0.0%)
P1171	Collinsella (0.0%)
P1175	Collinsella (0.001%)
P1178	Collinsella aerofaciens (0.0%)
P1183	Collinsella (0.0%)
P1185	Collinsella (0.008%)
P1188	Collinsella aerofaciens (0.001%)
P1189	Collinsella (0.0%)
P1192	Collinsella (0.0%)
P1198	Collinsella (0.0%)
P1201	Collinsella (0.001%)
P1204	Collinsella (0.001%)
P1207	Collinsella (0.006%)
P1212	Collinsella (0.004%)
P1218	Collinsella (0.001%)
P1220	Collinsella (0.002%)
P1229	Collinsella (0.0%)
P1233	Collinsella (0.0%)
P1236	Collinsella (0.0%)
P1238	Collinsella (0.0%)
P1239	Collinsella (0.0%)
P1241	Collinsella (0.0%)
P1242	Collinsella (0.001%)
P1244	Collinsella (0.0%)
P1249	Collinsella (0.0%)
P1251	Collinsella (0.0%)
P1254	Collinsella (0.0%)
P1255	Collinsella (0.0%)
P1256	Collinsella (0.001%)
P1261	Collinsella (0.0%)
P1264	Collinsella (0.0%)
P1266	Collinsella (0.0%)
P1270	Collinsella (0.001%)
P1272	Collinsella (0.0%)
P1273	Collinsella (0.004%)
P1280	Collinsella (0.001%)
P1285	Collinsella (0.0%)
P1287	Collinsella (0.0%)
P1289	Collinsella (0.001%)
P1291	Collinsella (0.001%)
P1294	Collinsella (0.001%)
P1296	Collinsella (0.0%)
P1299	Collinsella (0.007%)
P1305	Collinsella (0.006%)
P1308	Collinsella (0.003%)
P1312	Collinsella (0.001%)
P1315	Collinsella (0.005%)
P1318	Collinsella (0.001%)
P1322	Collinsella (0.001%)
P1328	Collinsella (0.002%)
P1331	Collinsella (0.009%)
P1332	Collinsella (0.005%)
P1336	Collinsella (0.004%)
P1345	Collinsella (0.001%)
P1352	Collinsella (0.003%)
P1357	Collinsella (0.01%)
P1359	Collinsella (0.006%)
P1361	Collinsella (0.0%)
P1368	Collinsella (0.003%)
P1372	Collinsella (0.003%)
P1378	Libanicoccus (0.001%)
P1379	Libanicoccus (0.0%)
P1382	Atopobiaceae (0.001%)
P1386	Olsenella (0.001%)
P1387	Olsenella_B (0.0%)
P1388	Atopobium_B (0.001%)
P1398	Coriobacteriales (0.0%)
P1400	CAG-1427 (0.001%)
P1403	Eggerthellaceae (2.691%)
P1405	CAG-1427 (0.004%)
P1408	CAG-1427 (0.032%)
P1414	Senegalimassilia (0.006%)
P1419	Eggerthella lenta (0.017%)
P1420	Eggerthellaceae (0.001%)
P1422	Gordonibacter pamelaeae (0.044%)
P1426	Adlercreutzia (0.442%)
P1429	CAG-1427 (0.001%)
P1430	Eggerthellaceae (0.01%)
P1433	Slackia_A (0.008%)
P1441	Eggerthellaceae (0.005%)
P1444	Coriobacteriales (0.001%)
P1455	Eubacterium_D (0.056%)
P1462	Eubacterium_D sp1 (0.022%)
P1470	Erysipelotrichaceae (0.005%)
P1472	Merdibacter (0.001%)
P1476	CAG-536 (0.08%)
P1477	Faecalitalea cylindroides (0.033%)
P1479	Faecalicoccus (0.002%)
P1481	Holdemanella (0.954%)
P1485	Holdemanella (0.75%)
P1492	Holdemania (0.06%)
P1495	Erysipelotrichaceae (0.014%)
P1498	Erysipelatoclostridium ramosum (0.017%)
P1502	Erysipelatoclostridium ramosum (0.012%)
P1506	Erysipelatoclostridium spiroforme (0.12%)
P1509	Erysipelatoclostridium (0.006%)
P1514	Erysipelatoclostridium (0.002%)
P1521	KLE1796 (0.049%)
P1524	Catenibacterium (0.287%)
P1525	Catenibacterium (1.384%)
P1528	Beduini (0.0%)
P1532	Erysipelatoclostridiaceae (0.012%)
P1536	CAG-826 (0.0%)
P1537	CAG-826 (0.004%)
P1539	CAG-826 (0.002%)
P1540	RFN20 (0.004%)
P1544	CAG-449 (0.038%)
P1547	CAG-345 (0.053%)
P1549	CAG-568 (0.001%)
P1555	CAG-313 (0.01%)
P1560	CAG-307 (0.004%)
P1564	Turicibacter sanguinis_A (0.001%)
P1566	Turicibacter sanguinis (0.0%)
P1571	CAG-302 (0.0%)
P1572	CAG-302 (0.0%)
P1577	CAG-877 (0.002%)
P1579	CAG-433 (0.0%)
P1580	CAG-594 (0.002%)
P1583	CAG-914 (0.002%)
P1587	CAG-611 (0.004%)
P1590	CAG-877 (0.004%)
P1594	CAG-417 (0.056%)
P1598	CAG-988 (0.0%)
P1603	UBA660 (0.0%)
P1610	UBA660 (0.001%)
P1617	CAG-582 (0.0%)
P1618	CAG-533 (0.001%)
P1621	CAG-776 (0.0%)
P1624	CAG-460 (0.002%)
P1625	CAG-460 (0.003%)
P1629	CAG-605 (0.0%)
P1634	CAG-628 (0.0%)
P1636	CAG-1000 (0.003%)
P1641	Mycoplasmatales (0.0%)
P1644	Enterococcus_D gallinarum (0.0%)
P1645	Enterococcus_D gallinarum (0.0%)
P1649	Enterococcus_D (0.001%)
P1653	Enterococcus_B faecium_A (0.019%)
P1655	Enterococcus_B faecium (0.006%)
P1659	Enterococcus faecalis (0.0%)
P1669	Enterococcus faecalis (0.0%)
P1672	Enterococcus faecalis (0.0%)
P1688	Enterococcus faecalis (0.0%)
P1692	Enterococcus_A (0.0%)
P1694	Enterococcus_B faecium_A (0.014%)
P1696	Granulicatella (0.001%)
P1699	Lactobacillus helveticus (0.0%)
P1700	Lactobacillus ultunensis (0.0%)
P1703	Lactobacillus amylolyticus (0.0%)
P1706	Lactobacillus johnsonii (0.0%)
P1707	Lactobacillus gasseri_A (0.0%)
P1713	Lactobacillus (0.0%)
P1715	Pediococcus acidilactici (0.0%)
P1719	Pediococcus acidilactici (0.0%)
P1721	Pediococcus acidilactici (0.0%)
P1726	Lactobacillus_G hilgardii (0.0%)
P1728	Lactobacillus_G brevis (0.0%)
P1730	Lactobacillus_H (0.0%)
P1731	Lactobacillus_H fermentum (0.0%)
P1737	Lactobacillus_C rhamnosus (0.0%)
P1739	Lactobacillus_C rhamnosus (0.0%)
P1743	Lactobacillus_C paracasei (0.0%)
P1754	Lactobacillus_F plantarum (0.0%)
P1756	Lactobacillus_H reuteri_A (0.0%)
P1757	Lactobacillus_H reuteri (0.0%)
P1759	Lactobacillus_H reuteri_B (0.0%)
P1762	Lactobacillus_H antri (0.0%)
P1765	Leuconostoc (0.0%)
P1766	Leuconostoc (0.001%)
P1770	Lactobacillus_B salivarius (0.0%)
P1772	Lactobacillus_B murinus (0.0%)
P1773	Lactobacillus_B animalis (0.0%)
P1775	Lactobacillus_B ruminis (0.001%)
P1782	Streptococcus (0.002%)
P1787	Streptococcus (0.002%)
P1794	Streptococcus anginosus (0.004%)
P1797	Streptococcus (0.0%)
P1799	Streptococcus agalactiae (0.0%)
P1801	Streptococcus mutans (0.0%)
P1807	Oceanobacillus (0.0%)
P1810	Gracilibacillus (0.0%)
P1812	Bacillus_A thuringiensis_J (0.0%)
P1814	Bacillus paralicheniformis (0.0%)
P1817	Listeria (0.0%)
P1819	Planococcaceae (0.0%)
P1821	Bacillus_W jeddahensis (0.0%)
P1824	Bacillus_AD (0.0%)
P1828	Bacillales (0.0%)
P1829	Bacillus_J andreraoultii (0.0%)
P1839	Staphylococcaceae (0.0%)
P1840	Staphylococcus (0.0%)
P1848	Exiguobacterium_A (0.0%)
P1853	Paenibacillus_A (0.0%)
P1855	Paenibacillaceae (0.0%)
P1856	Paenibacillaceae (0.0%)
P1863	Paenibacillaceae (0.0%)
P1866	Bacilli (0.0%)
P1870	Peptococcaceae (0.0%)
P1873	Veillonellales (0.001%)
P1875	Acidaminococcaceae (0.001%)
P1876	Phascolarctobacterium (0.006%)
P1880	Phascolarctobacterium (0.002%)
P1885	Phascolarctobacterium (0.0%)
P1887	CAG-207 (0.001%)
P1889	CAG-207 (0.002%)
P1893	Acidaminococcaceae (0.001%)
P1896	Acidaminococcus (0.002%)
P1897	Acidaminococcus (0.0%)
P1899	Acidaminococcus (0.001%)
P1904	Negativicutes (0.0%)
P1905	Selenomonadaceae (0.001%)
P1907	Mitsuokella (0.0%)
P1915	Veillonella (0.002%)
P1920	Veillonella parvula (0.004%)
P1923	Veillonellaceae (0.001%)
P1926	Veillonella (0.001%)
P1928	Veillonella (0.0%)
P1934	Veillonellaceae (0.0%)
P1937	Caecibacter (0.0%)
P1939	Megasphaera (0.003%)
P1941	Megasphaera (0.0%)
P1949	Dialisteraceae (0.003%)
P1950	Dialister (0.015%)
P1952	Dialister (0.002%)
P1963	Dialisteraceae (0.881%)
P1966	Negativicoccus (0.0%)
P1970	ER4 (0.113%)
P1972	ER4 (0.273%)
P1976	CAG-83 (0.233%)
P1978	CAG-83 (0.148%)
P1984	CAG-83 (0.05%)
P1986	CAG-83 (0.066%)
P1990	CAG-83 (0.099%)
P1994	CAG-83 (0.005%)
P1997	Oscillibacter (0.004%)
P1999	Oscillibacter (0.087%)
P2005	Oscillibacter sp6 (0.089%)
P2006	Oscillibacter sp6 (0.147%)
P2010	Oscillibacter (0.103%)
P2015	Oscillospiraceae (0.054%)
P2017	Oscillospiraceae (0.019%)
P2018	Pseudoflavonifractor capillosus (0.063%)
P2020	Intestinimonas massiliensis (0.153%)
P2026	Flavonifractor plautii (0.017%)
P2031	Oscillospiraceae (0.006%)
P2036	Clostridium_AJ (0.158%)
P2037	Clostridium_AJ (0.039%)
P2041	Clostridium_AJ (0.166%)
P2043	Clostridium_AJ (0.056%)
P2049	Oscillospiraceae (0.008%)
P2050	Ruminiclostridium_C (0.2%)
P2054	Oscillospiraceae (0.108%)
P2056	Oscillospiraceae (0.007%)
P2058	Oscillospiraceae (0.015%)
P2063	F23-B02 (0.054%)
P2068	Oscillospiraceae (0.005%)
P2069	Oscillospiraceae (0.013%)
P2072	Oscillospiraceae (0.007%)
P2073	Oscillospiraceae (0.016%)
P2078	CAG-103 (0.335%)
P2084	CAG-110 (0.141%)
P2085	CAG-110 (0.015%)
P2087	CAG-110 (0.017%)
P2091	CAG-110 (0.012%)
P2094	CAG-110 (0.186%)
P2097	Oscillospiraceae (0.004%)
P2103	CAG-170 (0.055%)
P2106	Oscillospiraceae (0.022%)
P2108	CAG-170 (0.047%)
